personCLASE,corpus,palabras,signal_mean_chroma_stft,signal_mode_chroma_stft,signal_mean_mfcc,signal_iqr_mfcc,zero_crossings,signal_mean_spectral_bandwidth,signal_mode_spectral_bandwidth,signal_mean_beats,signal_estimate_tuning,fftfreq_mean,fftfreq_mode,fftfreq_iqr,mean_SIGNAL_chroma_cq,signal_iqr_chroma_cq,signal_mean_y_harmonic,signal_median_y_harmonic,signal_mean_percussive,signal_mode_percussive,signal_median_stft,signal_iqr_stft,signal_median_spectral_bandwidth,mean_signal_spectral_contrast,signal_iqr_percussive
FEMALE,1,29,0.39787763,0.28479925,-12.207852,24.13955069,2856,3274.481134,3161.092063,3,0.3,9.78E-18,-0.49998567,0.49998567,0.27748594,0.342794517,4.33E-05,0.000109758,5.19E-05,-0.07874978,0.020983709,0.191383142,2775.295129,18.82383484,0.035405578
FEMALE,1,31,0.2743267,0.054671485,-12.541485,28.03665471,2271,2826.855971,2530.207123,13,-0.17,-1.64E-05,-0.5,0.499983589,0.25170347,0.361650057,-7.53E-06,0.002519262,4.27E-05,-0.051469292,0.04513283,0.328874852,2687.285988,21.7259436,0.043632132
FEMALE,1,48,0.3987085,0.030930493,-9.829761,21.91888142,2784,3633.2785,3622.213052,37,-0.05,-1.15E-05,-0.5,0.499988547,0.2533326,0.313668355,3.24E-05,0.000346605,1.56E-05,-0.048470166,0.017148377,0.251832283,3370.26717,18.15585377,0.019473863
FEMALE,1,34,0.31631786,0.043157164,-12.184031,24.22957873,2567,2758.417474,2569.916807,10,0,-9.04E-06,-0.5,0.49999096,0.23740143,0.305191041,3.13E-06,0.002518665,2.47E-05,-0.04919319,0.018417707,0.166801453,2798.718707,21.37868083,0.016864041
FEMALE,1,49,0.26704,0.09357518,-12.840761,24.80480802,911,2561.071358,3094.882582,12.5,0.15,1.13E-17,-0.499987619,0.499987619,0.19147263,0.160913616,-4.73E-06,0.015924508,6.54E-05,-0.04522413,0.029975658,0.214693903,2639.058727,24.17327125,0.021321621
FEMALE,1,39,0.39782873,0.14602806,-13.937279,20.9145366,2851,3733.549796,3688.593254,3,0.1,-1.25E-05,-0.5,0.499987539,0.2725364,0.389757024,-3.68E-05,0.000113622,7.65E-05,-0.048663095,0.007708126,0.148641093,3197.182812,18.48229432,0.019562239
FEMALE,1,40,0.42917126,0.08262494,-10.359328,25.87139249,3819,2858.145917,2891.673857,20.5,-0.48,-1.15E-17,-0.499988739,0.499988739,0.3405983,0.564376531,5.97E-05,0.000207291,-7.10E-05,-0.02961517,0.016662035,0.20514978,2608.829298,19.18018851,0.033425176
FEMALE,1,41,0.4026194,0.10958363,-7.521444,23.53302073,4304,2812.905286,3325.618797,29,0.03,-1.07E-05,-0.5,0.499989275,0.3404375,0.561091402,-0.000241306,-0.000392427,0.000270099,-0.07843043,0.0253832,0.296048716,2896.74437,18.96009232,0.045544757
FEMALE,1,42,0.3435169,0.41038403,-8.997717,21.5375191,2181,3090.313687,4369.814513,5,-0.16,1.00E-17,-0.499986436,0.499986436,0.28089082,0.420263873,1.12E-05,0.004758952,3.84E-05,-0.06380824,0.041486174,0.282771681,3063.451705,20.4243037,0.024990726
FEMALE,1,50,0.31272343,0.21633023,-12.5762205,20.29555881,835,2752.010088,1794.902473,18.5,0.03,-1.59E-05,-0.5,0.49998409,0.2087436,0.187418816,-2.52E-05,0.000520428,2.29E-05,-0.05360365,0.011183143,0.11388235,2333.909346,21.32133391,0.02780853
